Data_Hora;Pot_Gerador_MW;Pot_Reator_MW
17/06/2020 12:20:00;1141,15295;3231,2981
17/06/2020 12:30:00;1142,19104;3251,72705
17/06/2020 12:40:00;1142,06104;3220,99902
17/06/2020 12:50:00;1142,96899;3241,16089
17/06/2020 13:00:00;1141,802;3246,96509
17/06/2020 13:10:00;1143,099;3219,5271
17/06/2020 13:20:00;1141,93103;3238,71191
17/06/2020 13:30:00;1141,93103;3239,09204
17/06/2020 13:40:00;1141,93103;3242,59302
17/06/2020 13:50:00;1141,802;3233,96606
17/06/2020 14:00:00;1142,19104;3245,48389
17/06/2020 14:10:00;1145,69299;3238,74707
17/06/2020 14:20:00;1144,26599;3258,86206
17/06/2020 14:30:00;1142,31995;3248,30688
17/06/2020 14:40:00;1142,83899;3246,57397
17/06/2020 14:50:00;1143,099;3249,35205
17/06/2020 15:00:00;1143,099;3235,66797
17/06/2020 15:10:00;1142,31995;3247,56201
17/06/2020 15:20:00;1145,43396;3241,0249
17/06/2020 15:30:00;1143,35803;3245,83008
17/06/2020 15:40:00;1144,78503;3226,95703
17/06/2020 15:50:00;1144,65601;3218,4541
17/06/2020 16:00:00;1144,65601;3241,04102
17/06/2020 16:10:00;1142,96899;3227,77002
17/06/2020 16:20:00;1142,44995;3254,06104
17/06/2020 16:30:00;1143,61804;3244,68604
17/06/2020 16:40:00;1143,61804;3239,62402
17/06/2020 16:50:00;1142,06104;3262,90308
17/06/2020 17:00:00;1141,54199;3227,77197
17/06/2020 17:10:00;1143,099;3233,45093
17/06/2020 17:20:00;1141,93103;3219,69604
17/06/2020 17:30:00;1143,35803;3239,77905
17/06/2020 17:40:00;1143,74805;3240,1709
17/06/2020 17:50:00;1142,44995;3221,68701
17/06/2020 18:00:00;1143,87695;3255,93799
17/06/2020 18:10:00;1143,099;3232,11304
17/06/2020 18:20:00;1143,099;3234,28589
17/06/2020 18:30:00;1142,44995;3229,29395
17/06/2020 18:40:00;1142,19104;3217,70288
17/06/2020 18:50:00;1143,48804;3239,82104
17/06/2020 19:00:00;1143,229;3229,0249
17/06/2020 19:10:00;1141,93103;3239,22607
17/06/2020 19:20:00;1142,44995;3237,896
17/06/2020 19:30:00;1142,57996;3243,79004
17/06/2020 19:40:00;1143,35803;3235,41309
17/06/2020 19:50:00;1143,229;3250,25806
17/06/2020 20:00:00;1144,526;3218,75195
17/06/2020 20:10:00;1144,00696;3254,86108
17/06/2020 20:20:00;1143,48804;3238,45508
17/06/2020 20:30:00;1145,17505;3219,12109
17/06/2020 20:40:00;1145,04504;3236,17407
17/06/2020 20:50:00;1142,83899;3240,12891
17/06/2020 21:00:00;1143,35803;3247,67407
17/06/2020 21:10:00;1143,229;3244,84497
17/06/2020 21:20:00;1142,83899;3242,85596
17/06/2020 21:30:00;1143,35803;3241,89404
17/06/2020 21:40:00;1144,26599;3217,66504
17/06/2020 21:50:00;1143,61804;3230,63599
17/06/2020 22:00:00;1143,74805;3234,72412
17/06/2020 22:10:00;1143,48804;3239,82104
17/06/2020 22:20:00;1143,229;3246,11206
17/06/2020 22:30:00;1143,229;3252,39893
17/06/2020 22:40:00;1142,96899;3254,30103
17/06/2020 22:50:00;1143,48804;3236,20288
17/06/2020 23:00:00;1143,48804;3213,79297
17/06/2020 23:10:00;1143,87695;3230,08105
17/06/2020 23:20:00;1143,35803;3223,46094
17/06/2020 23:30:00;1143,61804;3238,00903
17/06/2020 23:40:00;1141,802;3247,01709
17/06/2020 23:50:00;1143,48804;3223,87598
18/06/2020;1143,35803;3250,57788
18/06/2020 00:10:00;1142,44995;3244,67993
18/06/2020 00:20:00;1143,61804;3250,05688
18/06/2020 00:30:00;1143,48804;3235,83301
18/06/2020 00:40:00;1138,81799;3208,23706
18/06/2020 00:50:00;1139,20703;3216,979
18/06/2020 01:00:00;1138,55798;3235,12402
18/06/2020 01:10:00;1137,52002;3238,92896
18/06/2020 01:20:00;1136,87195;3216,70801
18/06/2020 01:30:00;1139,07703;3215,05298
18/06/2020 01:40:00;1138,42798;3238,72095
18/06/2020 01:50:00;1137,65002;3235,7959
18/06/2020 02:00:00;1137,52002;3217,53394
18/06/2020 02:10:00;1138,16895;3224,01099
18/06/2020 02:20:00;1137,52002;3229,63892
18/06/2020 02:30:00;1137,13098;3217,34399
18/06/2020 02:40:00;1138,03894;3233,80298
18/06/2020 02:50:00;1136,87195;3231,87012
18/06/2020 03:00:00;1138,42798;3230,26196
18/06/2020 03:10:00;1137,78003;3227,06909
18/06/2020 03:20:00;1137,65002;3220,60205
18/06/2020 03:30:00;1138,16895;3235,20801
18/06/2020 03:40:00;1137,65002;3233,69702
18/06/2020 03:50:00;1138,55798;3218,73999
18/06/2020 04:00:00;1138,94702;3238,52588
18/06/2020 04:10:00;1138,03894;3228,64404
18/06/2020 04:20:00;1138,42798;3229,81299
18/06/2020 04:30:00;1138,29895;3239,81494
18/06/2020 04:40:00;1137,78003;3244,625
18/06/2020 04:50:00;1138,42798;3221,19092
18/06/2020 05:00:00;1138,42798;3218,36499
18/06/2020 05:10:00;1137,00098;3235,2749
18/06/2020 05:20:00;1138,42798;3231,52393
18/06/2020 05:30:00;1138,03894;3216,64795
18/06/2020 05:40:00;1133,75806;3205,5979
18/06/2020 05:50:00;1134,01697;3219,11401
18/06/2020 06:00:00;1132,45996;3215,89111
18/06/2020 06:10:00;1131,68201;3200,24609
18/06/2020 06:20:00;1132,07104;3192,23291
18/06/2020 06:30:00;1132,45996;3196,19604
18/06/2020 06:40:00;1133,23901;3222,13306
18/06/2020 06:50:00;1133,36902;3209,25195
18/06/2020 07:00:00;1133,75806;3190,51001
18/06/2020 07:10:00;1132,71997;3226,0061
18/06/2020 07:20:00;1132,71997;3220,96997
18/06/2020 07:30:00;1132,33105;3212,89893
18/06/2020 07:40:00;1133,10901;3183,35889
18/06/2020 07:50:00;1131,68201;3214,48804
18/06/2020 08:00:00;1132,84998;3223,33789
18/06/2020 08:10:00;1132,20105;3223,73291
18/06/2020 08:20:00;1133,36902;3235,69189
18/06/2020 08:30:00;1132,979;3205,01392
18/06/2020 08:40:00;1132,979;3211,05493
18/06/2020 08:50:00;1132,20105;3209,35303
18/06/2020 09:00:00;1132,58997;3207,43604
18/06/2020 09:10:00;1133,36902;3202,65894
18/06/2020 09:20:00;1133,23901;3211,41895
18/06/2020 09:30:00;1133,23901;3227,57593
18/06/2020 09:40:00;1131,42297;3214,24292
18/06/2020 09:50:00;1131,16296;3224,36792
18/06/2020 10:00:00;1131,42297;3211,05591
18/06/2020 10:10:00;1130,64404;3223,26904
18/06/2020 10:20:00;1131,42297;3208,06201
18/06/2020 10:30:00;1131,16296;3222,98096
18/06/2020 10:40:00;1131,81201;3227,47607
18/06/2020 10:50:00;1114,68701;3151,25391
18/06/2020 11:00:00;1116,24402;3165,229
18/06/2020 11:10:00;1116,11401;3177,10596
18/06/2020 11:20:00;1114,03796;3166,76807
18/06/2020 11:30:00;1114,55701;3196,53003
18/06/2020 11:40:00;1115,33496;3164,99194
18/06/2020 11:50:00;1115,07605;3193,39404
18/06/2020 12:00:00;1113,77905;3176,39502
18/06/2020 12:10:00;1114,94604;3178,20508
18/06/2020 12:20:00;1115,07605;3148,62305
18/06/2020 12:30:00;1115,72498;3184,48706
18/06/2020 12:40:00;1113,90796;3156,84106
18/06/2020 12:50:00;1114,55701;3171,19507
18/06/2020 13:00:00;1114,29797;3162,41699
